year,cohort,collector,nest,clutch,female.code,male.code,eggs,hatched,unhatched,hatching.success,dead.chicks,fledged,annual.recruits,laying.date,hatch.date,female.cohort,female.dob,male.dob,female.age,male.age,rel.laying.date,first.female.lay.date,female.reprod.age,lifetime.recruits,last.date.seen,last.date.bred,dead.or.alive,female.lifespan
2006,J06/07,NA,B22/27,1,1,101,4,4,0,1,3,1,0,28/10/06,15/11/06,J05/06,2/12/05,1/12/04,330,696,37,23/11/06,-26,2,15/02/15,10/12/15,dead,3660
2006,J06/07,NA,B22/28,2,1,101,4,4,0,1,4,0,0,21/12/06,1/08/07,J05/06,2/12/05,1/12/04,384,750,91,23/11/06,28,2,15/02/15,10/12/15,dead,3660
2006,J06/07,NA,B22/29b,1,2,102,4,4,0,1,1,3,0,6/11/06,25/11/06,J05/06,2/12/05,1/12/02,339,1436,46,5/12/06,-29,0,15/02/07,6/11/06,dead,440
2006,J06/07,NA,B21/9,1,3,103,5,0,5,0,0,0,0,22/11/06,NA,J05/06,3/12/05,NA,354,NA,62,NA,NA,0,15/09/06,30/01/07,dead,423
2006,J06/07,NA,B21/9,R1,3,103,4,0,4,0,0,0,0,30/01/07,NA,J05/06,3/12/05,NA,423,NA,131,NA,NA,0,15/09/06,30/01/07,dead,423
2006,J06/07,NA,B2/10,1,4,104,4,4,0,1,0,4,0,4/11/06,22/11/04,J05/06,5/12/05,1/12/05,334,338,44,1/12/06,-27,1,15/09/10,9/12/09,dead,1745
2006,J06/07,NA,B21/11,1,5,105,4,4,0,1,0,4,0,8/11/06,26/11/06,J05/06,9/12/05,1/12/02,334,1438,48,5/12/06,-27,0,15/02/08,27/12/07,dead,798
2006,J06/07,NA,B22/13a,1,6,106,4,4,0,1,1,3,1,29/10/06,16/11/06,J05/06,1/12/05,1/12/05,332,332,38,NA,NA,1,15/02/13,5/01/13,dead,2633
2006,J06/07,NA,B1/12,1,6,107,4,3,1,0.75,0,3,1,1/11/06,19/11/06,J05/06,8/12/05,1/12/05,328,335,41,26/11/06,-25,1,15/02/13,5/01/13,dead,2626
2006,J06/07,NA,B22/13a,2,6,106,4,4,0,1,4,0,1,4/01/07,20/01/07,J05/06,8/12/05,1/12/05,479,399,105,26/11/06,126,1,15/02/13,5/01/13,dead,2626
2006,J06/07,NA,AB1,1,7,108,5,4,1,0.8,2,2,0,27/11/06,15/01/07,J05/06,11/12/05,1/12/04,351,726,67,30/12/06,-33,4,15/09/08,1/12/09,dead,1451
2006,J06/07,NA,B2/8,1,8,109,4,4,0,1,2,2,0,8/11/06,26/11/06,J05/06,11/12/05,1/12/04,332,707,48,7/11/06,1,0,15/02/06,9/01/07,dead,394
2006,J06/07,NA,B22/29,2,8,102,3,3,0,1,3,0,0,9/01/07,25/01/07,J05/06,1/12/05,1/12/02,404,1500,110,NA,NA,0,15/02/06,9/01/07,dead,404
2006,J06/07,NA,B22/8,1,9,110,4,3,1,0.75,0,3,1,3/11/06,21/11/06,J05/06,11/12/05,1/12/03,327,1068,43,2/12/06,-29,2,15/02/10,28/12/10,dead,1843
2006,J06/07,NA,B1G1,1,10,111,4,3,1,0.75,0,3,0,30/10/06,16/11/06,J05/06,11/12/05,1/12/03,323,1064,39,NA,NA,0,15/02/07,30/10/06,dead,431
2006,J06/07,NA,B23/3,1,11,112,4,4,0,1,0,4,1,6/11/06,23/11/06,J05/06,12/12/05,1/12/03,329,1071,46,NA,NA,1,15/09/10,31/10/10,dead,1784
2006,J06/07,NA,SDB4,1,12,103,4,2,2,0.5,0,2,0,4/11/06,22/11/06,J05/06,14/12/05,NA,325,NA,44,2/12/06,-28,2,15/02/09,4/01/10,dead,1482
2006,J06/07,NA,B1/10,1,13,113,4,2,2,0.5,0,2,0,26/10/06,12/11/06,J05/06,14/12/05,1/01/05,316,663,35,NA,NA,0,15/02/07,9/12/06,dead,428
2006,J06/07,NA,B1/9,2,13,113,4,4,0,1,0,4,0,9/12/06,26/12/06,J05/06,14/12/05,1/01/05,272,707,79,NA,NA,0,15/02/07,9/12/06,dead,428
2007,J07/08,walker,B22/28,1,1,114,5,5,0,1,1,4,0,26/10/07,14/11/07,J05/06,1/12/05,1/12/04,713,1059,30,26/10/07,0,2,15/02/15,10/12/15,dead,3661
2007,J07/08,walker,B22/28,2,1,114,4,4,0,1,1,3,0,26/12/07,10/01/08,J05/06,1/12/05,1/12/04,770,1120,91,26/10/07,61,2,15/02/15,10/12/15,dead,3661
2007,J07/08,walker,B2/7,1,4,103,4,4,0,1,1,3,0,28/10/07,15/11/07,J05/06,1/12/05,NA,714,NA,32,28/10/07,0,1,15/09/10,9/12/09,dead,1749
2007,J07/08,walker,B2/9,2,4,115,4,4,0,1,1,3,0,26/12/07,12/01/08,J05/06,1/12/05,1/12/06,772,390,91,28/10/07,59,1,15/09/10,9/12/09,dead,1749
2007,J07/08,walker,B22/5b,1,14,103,4,3,1,0.75,0,3,0,15/11/07,3/12/07,J06/07,1/12/06,NA,367,NA,50,15/11/07,0,1,15/02/11,3/11/10,dead,1537
2007,J07/08,walker,B1/10,1,15,113,4,3,1,0.75,1,2,0,9/11/07,27/11/07,J06/07,1/12/06,1/01/05,361,1042,44,9/11/07,0,0,15/02/08,1/01/08,dead,441
2007,J07/08,walker,B1/G2,2,15,116,4,3,1,0.75,3,0,0,1/01/08,18/01/07,J06/07,1/12/06,1/12/05,396,761,97,9/11/07,53,0,15/02/08,1/01/08,dead,441
2007,J07/08,walker,B21/11,1,5,105,5,5,0,1,2,3,0,29/10/07,16/11/07,J05/06,1/12/05,1/12/02,715,1793,33,29/10/07,0,0,15/02/08,27/12/07,dead,806
2007,J07/08,walker,B21/12,2,5,105,4,3,1,0.75,3,0,0,27/12/07,13/01/08,J05/06,1/12/05,1/12/02,773,1852,92,29/10/07,59,0,15/02/08,27/12/07,dead,806
2007,J07/08,walker,SV/1,1,6,117,5,3,2,0.6,1,2,0,30/10/07,17/11/07,J05/06,1/12/05,1/12/00,716,2524,34,30/10/07,0,1,15/02/13,5/01/13,dead,2633
2007,J07/08,walker,SV/1,2,6,117,5,5,0,1,2,3,0,23/12/07,10/01/08,J05/06,1/12/05,1/12/00,770,2578,88,30/10/07,54,1,15/02/13,5/01/13,dead,2633
2007,J07/08,walker,AB/1,1,7,108,4,3,1,0.75,2,1,1,20/11/07,7/12/07,J05/06,1/12/05,1/12/04,736,1084,55,20/11/07,0,4,15/09/08,1/12/09,dead,1461
2007,J07/08,walker,B22/8,1,9,110,5,5,0,1,1,4,0,24/10/07,11/11/07,J05/06,1/12/05,1/12/03,710,1423,28,24/10/07,0,2,15/02/10,28/12/10,dead,1853
2007,J07/08,walker,B22/15,2,9,110,4,3,1,0.75,3,0,0,26/12/07,12/01/08,J05/06,1/12/05,1/12/03,772,1486,91,24/10/07,63,2,15/02/10,28/12/10,dead,1853
2007,J07/08,walker,B22/23,1,16,118,5,3,2,0.6,0,3,2,22/10/07,11/11/07,J05/06,1/12/05,1/02/03,710,1724,26,22/10/07,0,4,15/09/12,21/12/10,dead,2480
2007,J07/08,walker,B22/24,2,16,118,4,3,1,0.75,3,0,2,17/12/07,3/01/08,J05/06,1/12/05,1/02/03,763,1780,82,22/10/07,56,4,15/09/12,21/12/10,dead,2480
2007,J07/08,walker,B23/5,1,11,112,4,4,0,1,0,4,0,29/10/07,16/11/07,J05/06,1/12/05,1/12/03,715,1428,33,29/10/07,0,1,15/09/10,31/10/10,dead,1795
2007,J07/08,walker,B23/5,2,11,112,4,4,0,1,2,2,0,24/12/07,10/01/08,J05/06,1/12/05,1/12/03,770,1484,89,29/10/07,56,1,15/09/10,31/10/10,dead,1795
2007,J07/08,walker,FB/1,1,12,103,4,4,0,1,2,2,0,31/10/07,18/11/07,J05/06,1/12/05,NA,717,NA,35,31/10/07,0,2,15/02/09,4/01/10,dead,1495
2007,J07/08,walker,FB/2,2,12,103,4,2,2,0.5,2,0,0,20/12/07,7/01/08,J05/06,1/12/05,NA,767,NA,85,31/10/07,50,2,15/02/09,4/01/10,dead,1495
2007,J07/08,walker,B3/1,1,17,119,3,2,1,0.666666667,2,0,0,6/12/07,23/12/07,J06/07,1/12/06,1/12/02,387,1831,71,6/12/07,0,2,15/09/11,6/01/11,dead,1749
2008,J08/09,walker,B22/28,1,1,114,5,4,1,0.8,NA,4,0,29/10/08,17/11/08,J05/06,1/12/05,1/12/04,1082,1428,4,26/10/07,369,2,15/02/15,10/12/15,dead,3661
2008,J08/09,walker,B22/27,2,1,114,4,4,0,1,4,0,0,27/12/08,13/01/09,J05/06,1/12/05,1/12/04,1139,1487,63,26/10/07,428,2,15/02/15,10/12/15,dead,3661
2008,J08/09,walker,B2/7,1,4,115,4,4,0,1,3,1,0,1/11/08,18/11/08,J05/06,1/12/05,1/12/06,1083,701,7,28/10/07,370,1,15/09/10,9/12/09,dead,1749
2008,J08/09,walker,B2/3,2,4,115,4,4,0,1,4,0,0,19/12/08,NA,J05/06,1/12/05,1/12/06,1114,749,55,28/10/07,418,1,15/09/10,9/12/09,dead,1749
2008,J08/09,walker,SC/2,1,14,103,4,4,0,1,NA,4,0,7/11/08,26/11/08,J06/07,1/12/06,NA,726,NA,13,15/11/07,358,1,15/02/11,3/11/10,dead,1537
2008,J08/09,walker,SV/1,1,6,117,5,5,0,1,2,3,0,3/11/08,21/11/08,J05/06,1/12/05,1/12/00,1086,2894,9,30/10/07,370,1,15/02/13,5/01/13,dead,2633
2008,J08/09,walker,SV/1,2,6,117,4,4,0,1,4,0,0,28/12/08,13/01/09,J05/06,1/12/05,1/12/00,1139,2949,64,30/10/07,425,1,15/02/13,5/01/13,dead,2633
2008,J08/09,walker,B21/14,1,7,120,5,4,1,0.8,1,3,2,5/11/08,24/11/08,J05/06,1/12/05,1/01/03,1089,2135,11,20/11/07,351,4,15/09/08,1/12/09,dead,1461
2008,J08/09,walker,B21/10,2,7,120,4,3,1,0.75,3,0,2,26/12/08,12/01/09,J05/06,1/12/05,1/01/03,1138,2186,62,20/11/07,402,4,15/09/08,1/12/09,dead,1461
2008,J08/09,walker,B22/8,1,9,110,5,3,2,0.6,NA,3,1,27/10/08,15/11/08,J05/06,1/12/05,1/12/03,1080,1792,2,24/10/07,369,2,15/02/10,28/12/10,dead,1853
2008,J08/09,walker,B22/15,2,9,110,4,3,1,0.75,3,0,1,22/12/08,9/01/09,J05/06,1/12/05,1/12/03,1135,1848,58,24/10/07,425,2,15/02/10,28/12/10,dead,1853
2008,J08/09,walker,B22/23,1,16,118,5,3,2,0.6,NA,3,0,25/10/08,12/11/08,J05/06,1/12/05,1/02/03,1077,2093,0,25/10/08,0,4,15/09/12,21/12/10,dead,2480
